county_fips,county_name,state_name,date,county_vmt,baseline_jan_vmt,percent_change_from_jan,mean7_county_vmt,mean7_percent_change_from_jan,date_at_low,mean7_county_vmt_at_low,percent_change_from_low
1001,Autauga,Alabama,2020-05-08,3550000,3571446,-0.6,2790000,-21.88,2020-04-12,1542857.14,80.83
1001,Autauga,Alabama,2020-05-07,2970000,3571446,-16.84,2724285.71,-23.72,2020-04-12,1542857.14,76.57
1001,Autauga,Alabama,2020-05-06,2680000,3571446,-24.96,2644285.71,-25.96,2020-04-12,1542857.14,71.39
1001,Autauga,Alabama,2020-05-05,2720000,3571446,-23.84,2561428.57,-28.28,2020-04-12,1542857.14,66.02
1001,Autauga,Alabama,2020-05-04,2390000,3571446,-33.08,2515714.29,-29.56,2020-04-12,1542857.14,63.06
1001,Autauga,Alabama,2020-05-03,2430000,3571446,-31.96,2490000,-30.28,2020-04-12,1542857.14,61.39
1001,Autauga,Alabama,2020-05-02,2790000,3571446,-21.88,2384285.71,-33.24,2020-04-12,1542857.14,54.54
1001,Autauga,Alabama,2020-05-01,3090000,3571446,-13.48,2264285.71,-36.6,2020-04-12,1542857.14,46.76
1001,Autauga,Alabama,2020-04-30,2410000,3571446,-32.52,2170000,-39.24,2020-04-12,1542857.14,40.65
1001,Autauga,Alabama,2020-04-29,2100000,3571446,-41.2,2082857.14,-41.68,2020-04-12,1542857.14,35
